author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Level Group;https://www.cian.ru/sale/flat/286972383/;Москва;sale;flat;4;6;5;239.6;385976694;Хамовники;Саввинская набережная;Спортивная;Саввинская 27 от Level
Gethome;https://www.cian.ru/sale/flat/287305016/;Москва;sale;flat;22;24;5;247;95000000;Пресненский;Шмитовский проезд;Улица 1905 года;Шмитовский 16
МИЦ;https://www.cian.ru/sale/flat/288310540/;Москва;sale;flat;-1;-1;5;-1;18813630;;;Ольховая;
ID 413522;https://www.cian.ru/sale/flat/276351678/;Москва;sale;flat;4;20;5;187;98000000;Обручевский;Новаторов;Новаторская;
А101;https://www.cian.ru/sale/flat/273052661/;Москва;sale;flat;2;15;5;128.7;29029017;;;Филатов Луг;
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/279931322/;Москва;sale;flat;4;7;5;234;210000000;Хамовники;2-й Обыденский переулок;Кропоткинская;
А101;https://www.cian.ru/sale/flat/273053240/;Москва;sale;flat;2;12;5;138;31439019;;;Филатов Луг;
Monumental Group;https://www.cian.ru/sale/flat/284436085/;Москва;sale;flat;2;5;5;172;137600000;Хамовники;Нащокинский переулок;Кропоткинская;
А101;https://www.cian.ru/sale/flat/284388148/;Москва;sale;flat;2;16;5;164.2;33149844;;;Прокшино;
Западные Сады;https://www.cian.ru/sale/flat/287718103/;Москва;sale;flat;7;14;5;115;65000000;Раменки;проспект Генерала Дорохова;Минская;West Garden
А101;https://www.cian.ru/sale/flat/284409793/;Москва;sale;flat;2;23;5;187.8;34597485;Южное Бутово;к1.5;Бунинская аллея;Южные Сады ЖК
SKYEST;https://www.cian.ru/sale/flat/286713326/;Москва;sale;flat;19;21;5;126;105490000;Пресненский;Мантулинская;Деловой центр;City Park
ДОНСТРОЙ;https://www.cian.ru/sale/flat/288195037/;Москва;sale;flat;24;27;5;118.7;45889420;Лефортово;бульвар Сенкевича;Площадь Ильича;Символ
Contact Real Estate;https://www.cian.ru/sale/flat/286720631/;Москва;sale;flat;6;17;5;183;134490000;Пресненский;Звенигородское шоссе;Улица 1905 года;Дизайнерский дом Eleven
КОРТРОС;https://www.cian.ru/sale/flat/270729568/;Москва;sale;flat;11;24;5;118.89;46248210;Останкинский;;Алексеевская;АйЛав ЖК
PEOPLE;https://www.cian.ru/sale/flat/287958984/;Москва;sale;flat;4;13;5;198.8;180000000;Тверской;Фадеева;Новослободская;Итальянский Квартал
TEKTA GROUP;https://www.cian.ru/sale/flat/280546952/;Москва;sale;flat;32;34;5;143.5;48129900;Обручевский;;Воронцовская;Эвер ЖК
Apple Real Estate;https://www.cian.ru/sale/flat/276463291/;Москва;sale;flat;6;6;5;295.2;160000000;Хамовники;Пречистенка;Парк Культуры;
TEKTA GROUP;https://www.cian.ru/sale/flat/286918866/;Москва;sale;flat;13;33;5;117.4;49613240;Даниловский;;Павелецкая;Era
BELFORT;https://www.cian.ru/sale/flat/286530192/;Москва;sale;flat;18;21;5;125;120000000;Пресненский;Мантулинская;Деловой центр;City Park
Level Group;https://www.cian.ru/sale/flat/285062567/;Москва;sale;flat;-1;-1;5;202;52355177;Нагатино-Садовники;1-й Нагатина кв-л;Нагатинская;Левел Нагатинская ЖК
Apple Real Estate;https://www.cian.ru/sale/flat/286972388/;Москва;sale;flat;8;12;5;203.3;244000000;Пресненский;Трехгорный Вал;Улица 1905 года;Трилогия
Группа Эталон;https://www.cian.ru/sale/flat/283964820/;Москва;sale;flat;5;9;5;123.2;59396438;Даниловский;;Технопарк;Нагатино Ай-Ленд ЖК
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/285466022/;Москва;sale;flat;6;6;5;295.2;160000000;Хамовники;Пречистенка;Парк Культуры;
494 УНР;https://www.cian.ru/sale/flat/287539510/;Москва;sale;flat;16;18;5;113.72;60184924;Щукино;Маршала Рыбалко;Панфиловская;Маршал
Ramenky Realty;https://www.cian.ru/sale/flat/286987186/;Москва;sale;flat;8;14;5;127.22;74900000;Раменки;;Минская;Вест Гарден ЖК
Группа Эталон;https://www.cian.ru/sale/flat/284037588/;Москва;sale;flat;8;27;5;159.2;63907015;Даниловский;;Технопарк;Шагал ЖК
NIKA ESTATE;https://www.cian.ru/sale/flat/285542682/;Москва;sale;flat;4;10;5;198.8;180000000;Тверской;Фадеева;Новослободская;Итальянский Квартал
ФСК;https://www.cian.ru/sale/flat/272206919/;Москва;sale;flat;-1;-1;5;202;78517680;Хорошево-Мневники;;Народное Ополчение;Сидней Сити ЖК
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/285160328/;Москва;sale;flat;17;17;5;274;184900000;Даниловский;Серпуховский Вал;Шаболовская;Донской Олимп
Инград;https://www.cian.ru/sale/flat/284858230/;Москва;sale;flat;4;19;5;204.19;79343584;Даниловский;Г мкр;Павелецкая;Форивер ЖК
Kalinka Group;https://www.cian.ru/sale/flat/280292485/;Москва;sale;flat;7;8;5;457.5;806872000;Тверской;переулок Брюсов;Тверская;Брюсов 19
Инград;https://www.cian.ru/sale/flat/286748917/;Москва;sale;flat;7;19;5;204.83;83310540;Даниловский;Г мкр;Павелецкая;Форивер ЖК
PEOPLE;https://www.cian.ru/sale/flat/288349074/;Москва;sale;flat;8;16;5;155;109000000;Замоскворечье;Мытная;Серпуховская;Английский квартал
Forma;https://www.cian.ru/sale/flat/286480935/;Москва;sale;flat;20;20;5;155.57;86309147;Даниловский;Автозаводская;Тульская;FORST
Gethome;https://www.cian.ru/sale/flat/279726677/;Москва;sale;flat;19;41;5;161;130000000;Хорошевский;Ленинградский проспект;ЦСКА;Прайм Парк
Группа Эталон;https://www.cian.ru/sale/flat/287205754/;Москва;sale;flat;8;11;5;199;90062752;Даниловский;;Нагатинская;Шагал ЖК
Vesco Realty;https://www.cian.ru/sale/flat/278927174/;Москва;sale;flat;6;30;5;218;89500000;Очаково-Матвеевское;Нежинская;Славянский бульвар;Кутузовская Ривьера
Forma;https://www.cian.ru/sale/flat/281124840/;Москва;sale;flat;20;20;5;162.68;90253725;Даниловский;Автозаводская;Тульская;FORST
Vesco Realty;https://www.cian.ru/sale/flat/278927130/;Москва;sale;flat;1;7;5;202;400000000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Группа Эталон;https://www.cian.ru/sale/flat/283964482/;Москва;sale;flat;18;19;5;165.6;99243663;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
Gethome;https://www.cian.ru/sale/flat/286812656/;Москва;sale;flat;13;19;5;376.8;230000000;Раменки;Ломоносовский проспект;Университет;Dominion
494 УНР;https://www.cian.ru/sale/flat/284196206/;Москва;sale;flat;16;16;5;175.7;115434900;Сокольники;Матросская Тишина;Сокольники;Ренессанс
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/287297300/;Москва;sale;flat;7;8;5;235.4;130000000;Арбат;Большой Афанасьевский переулок;Арбатская;
;https://www.cian.ru/sale/flat/282960550/;Москва;sale;flat;11;23;5;188.2;128270000;Пресненский;;Улица 1905 года;Онест ЖК
Monumental Group;https://www.cian.ru/sale/flat/283429657/;Москва;sale;flat;9;10;5;289;242970000;Замоскворечье;Большая Татарская;Новокузнецкая;Четыре солнца
Донстрой;https://www.cian.ru/sale/flat/286133664/;Москва;sale;flat;3;12;5;192.5;132882750;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
ID 416302;https://www.cian.ru/sale/flat/286174702/;Москва;sale;flat;4;14;5;140.5;69000000;Раменки;проспект Генерала Дорохова;Минская;West Garden
494 УНР;https://www.cian.ru/sale/flat/283737637/;Москва;sale;flat;20;20;5;169.3;132522918;Сокольники;Матросская Тишина;Сокольники;Ренессанс
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/275282172/;Москва;sale;flat;6;6;5;270;564810400;Хамовники;Бутиковский переулок;Парк Культуры;Cooper house
Пионер;https://www.cian.ru/sale/flat/279362263/;Москва;sale;flat;6;11;5;178.2;134209369;Даниловский;Дербеневская;Павелецкая;OPUS
Verges of estate;https://www.cian.ru/sale/flat/38352346/;Москва;sale;flat;29;31;5;294.9;160000000;Очаково-Матвеевское;Нежинская;Славянский бульвар;Кутузовская Ривьера
