author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Homeapp;https://www.cian.ru/sale/flat/283404110/;Москва;sale;flat;7;14;1;28.5;6560000;;;Коммунарка;
РГ-Девелопмент;https://www.cian.ru/sale/flat/286729242/;Москва;sale;flat;9;30;-1;26;5902000;Чертаново Южное;;Аннино;Варшавские Ворота ЖК
ZIP Realty;https://www.cian.ru/sale/flat/288373958/;Москва;sale;flat;3;8;-1;16.6;5753290;Преображенское;Электрозаводская;Электрозаводская;
ПИК;https://www.cian.ru/sale/flat/284563855/;Москва;sale;flat;2;33;1;20.1;6092310;Западное Дегунино;Северный ао;Лианозово;Бусиновский Парк ЖК
MiniStudioRealty;https://www.cian.ru/sale/flat/288418221/;Москва;sale;flat;4;5;-1;18.4;5520000;Хорошевский;Хорошевское шоссе;Беговая;
ПИК;https://www.cian.ru/sale/flat/279533861/;Москва;sale;flat;14;17;1;21.9;6140999;;;Бунинская аллея;
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/284366662/;Москва;sale;flat;2;5;1;16.6;6798000;Богородское;Ивантеевская;Бульвар Рокоссовского;
ПИК;https://www.cian.ru/sale/flat/282439290/;Москва;sale;flat;12;17;1;19.8;6130093;Люблино;к13.2;Перерва;Люблинский парк ЖК
МАКСИМУМ;https://www.cian.ru/sale/flat/286361804/;Москва;sale;flat;1;5;-1;30;6300000;Останкинский;Шереметьевская;Бутырская;
ПИК;https://www.cian.ru/sale/flat/280821903/;Москва;sale;flat;22;33;1;19.9;6102472;Люблино;к13.1;Перерва;Люблинский парк ЖК
МИР-Н;https://www.cian.ru/sale/flat/285019343/;Москва;sale;flat;1;4;-1;13;3050000;Нагорный;Электролитный проезд;Нагорная;
ПИК;https://www.cian.ru/sale/flat/287465490/;Москва;sale;flat;2;23;1;19.8;6179165;Царицыно;;Кантемировская;Кавказский Бульвар 51 ЖК
Homeapp;https://www.cian.ru/sale/flat/283818744/;Москва;sale;flat;11;14;-1;32;13500000;Хорошевский;Ходынский бульвар;ЦСКА;Лайнер
